company_name,ratings,reviews,company_type,Employee,Headquarters
Mahindra Finance,4.3,4.1k,NBFC,10k-50k Employees,Mumbai +641 more
DMart,4.0,4k,Retail,10k-50k Employees,Mumbai +213 more
Standard Chartered,3.9,4.1k,Banking,10k-50k Employees,London +58 more
Coforge,3.5,4.1k,IT Services & Consulting,10k-50k Employees,Noida +87 more
Cyient,3.8,4k,IT Services & Consulting,10k-50k Employees,Hyderabad/Secunderabad +35 more
BigBasket,4.0,4k,Internet,10k-50k Employees,Bangalore +116 more
ICICI Lombard General Insurance Company,3.8,4k,Insurance,10k-50k Employees,Mumbai +264 more
Indiamart Intermesh,3.6,4k,Internet,5k-10k Employees,Noida +145 more
CGI Group,4.1,4k,IT Services & Consulting,10k-50k Employees,Montreal +30 more
Virtusa Consulting Services,3.8,4k,IT Services & Consulting,10k-50k Employees,Southborough +39 more
Equitas Small Finance Bank,4.3,3.8k,Banking,10k-50k Employees,Chennai +370 more
TVS Motor,4.1,3.8k,Automobile,5k-10k Employees,Chennai +283 more
Manappuram Finance,4.0,3.8k,NBFC,10k-50k Employees,Thrissur/Trichur +516 more
Ekart Logistics,4.1,4.2k,Logistics,1k-5k Employees,San Francisco +609 more
GlobalLogic,3.7,3.8k,IT Services & Consulting,10k-50k Employees,San Jose +35 more
UST,3.9,3.7k,IT Services & Consulting,10k-50k Employees,New Delhi +36 more
SBI Cards & Payment Services,3.8,3.7k,Financial Services,1k-5k Employees,New Delhi +348 more
Hewlett Packard Enterprise,4.3,3.7k,IT Services & Consulting,10k-50k Employees,New Delhi +90 more
Atos Syntel,3.6,3.7k,IT Services & Consulting,5k-10k Employees,Pune +25 more
Bosch Global Software Technologies,4.1,3.7k,Software Product,10k-50k Employees,New Delhi +31 more
IQVIA,4.0,3.7k,Clinical Research,10k-50k Employees,New Delhi +45 more
Nagarro,4.1,3.7k,IT Services & Consulting,10k-50k Employees,New Delhi +42 more
Cholamandalam Investment & Finance,4.1,3.7k,NBFC,10k-50k Employees,New Delhi +651 more
SMFG India Credit,4.1,3.6k,NBFC,10k-50k Employees,New Delhi +487 more
Bosch,4.3,3.6k,Auto Components,5k-10k Employees,New Delhi +103 more
Reliance Communications,4.0,3.6k,Telecom,201-500 Employees,New Delhi +431 more
BNY Mellon,4.0,3.6k,Investment Banking / Venture Capital / Private Equity,10k-50k Employees,New Delhi +16 more
L&T Technology Services,3.4,3.7k,IT Services & Consulting,10k-50k Employees,New Delhi +52 more
Schneider Electric,4.2,3.6k,Industrial Automation,10k-50k Employees,New Delhi +117 more
Hyundai Motor India Limited,4.4,3.5k,Automobile,10k-50k Employees,New Delhi +271 more
Amdocs,4.0,3.5k,Software Product,10k-50k Employees,New Delhi +15 more
Oyo Rooms,3.4,3.5k,Hospitality,1k-5k Employees,New Delhi +116 more
Swiggy,3.9,3.5k,Internet,5k-10k Employees,New Delhi +192 more
CBRE,4.2,3.5k,Real Estate,10k-50k Employees,New Delhi +76 more
State Bank of India,3.9,3.5k,Banking,1 Lakh+ Employees,New Delhi +494 more
JBM Group,4.0,3.4k,Auto Components,1k-5k Employees,Gurgaon/Gurugram +87 more
BT Group,4.1,3.4k,Telecom,10k-50k Employees,London +18 more
SBI Life Insurance Company,3.9,3.4k,Insurance,10k-50k Employees,Mumbai +534 more
Optum,4.0,3.4k,Healthcare,10k-50k Employees,Prairie +32 more
Ecom Express,4.0,3.4k,Logistics,10k-50k Employees,Gurgaon +632 more
Nagarjuna Construction Company,4.2,3.3k,Engineering & Construction,5k-10k Employees,Hyderabad/Secunderabad +228 more
Dell,4.2,3.4k,Consumer Electronics & Appliances,10k-50k Employees,Round Rock +102 more
Bajaj Auto,3.9,3.3k,Automobile,5k-10k Employees,Pune +262 more
KEC International,4.1,3.3k,Engineering & Construction,5k-10k Employees,Mumbai +266 more
Future Group,4.3,3.2k,Retail,10k-50k Employees,Mumbai +203 more
Piramal Capital Housing Finance,4.3,3.3k,NBFC,1k-5k Employees,Mumbai +332 more
Aditya Birla Fashion and Retail,4.2,3.3k,Fashion & Textile,10k-50k Employees,Mumbai +236 more
Muthoot Fincorp,4.1,3.2k,NBFC,10k-50k Employees,Trivandrum/Thiruvananthapuram +549 more
Royal Enfield,4.3,3.1k,Automobile,5k-10k Employees,Gurgaon/Gurugram +312 more
L&T Finance,4.0,3.1k,NBFC,10k-50k Employees,Mumbai +483 more
Viatris,4.2,3.1k,Pharma,10k-50k Employees,Canonsburg +71 more
Tata Communications,4.1,3.1k,Telecom,5k-10k Employees,Mumbai +91 more
Samvardhana Motherson Group,3.8,3.1k,Auto Components,1k-5k Employees,Noida +81 more
Intas Pharmaceuticals,4.2,3.1k,Pharma,10k-50k Employees,Ahmedabad +119 more
LG Electronics,4.1,3.1k,Consumer Electronics & Appliances,1k-5k Employees,Seoul +252 more
John Deere,4.3,3.1k,Industrial Machinery,5k-10k Employees,Moline +123 more
Varun Beverages,4.1,3.1k,Beverage,5k-10k Employees,Gurgaon/Gurugram +288 more
Kogta Financial India Limited,4.8,3k,NBFC,1k-5k Employees,Jaipur +206 more
Persistent Systems,3.8,3.1k,IT Services & Consulting,10k-50k Employees,Pune +33 more
Godrej & Boyce Manufacturing,4.0,3k,Consumer Electronics & Appliances,10k-50k Employees,Mumbai +132 more
Randstad,3.9,3k,Recruitment,5k-10k Employees,Chennai +266 more
Thermax Limited,4.2,3k,Industrial Machinery,1k-5k Employees,Pune +183 more
Hetero Drugs,3.9,2.9k,Pharma,1k-5k Employees,Hyderabad/Secunderabad +47 more
Deutsche Bank,4.0,3k,Banking,10k-50k Employees,Frankfurt +38 more
Macleods Pharmaceuticals,3.8,2.9k,Pharma,10k-50k Employees,Mumbai +100 more
Havells,4.1,2.9k,Electrical Equipment,5k-10k Employees,Noida +184 more
CARS24,3.7,3k,Internet,5k-10k Employees,Gurgaon +149 more
Team Lease,4.0,3k,Recruitment,1k-5k Employees,Bangalore/Bengaluru +313 more
Subros,4.0,2.9k,Auto Components,1k-5k Employees,Noida +60 more
Sodexo,4.1,2.9k,Facility Management Services,10k-50k Employees,Issy les Moulineaux +133 more
Abbott,4.2,2.9k,Pharma,10k-50k Employees,Illinois City +174 more
VE Commercial Vehicles,4.1,2.8k,Automobile,1k-5k Employees,Gurgaon/Gurugram +129 more
Indian Oil Corporation,4.5,2.9k,Oil & Gas,10k-50k Employees,Delhi/NCR +263 more
Whitehat jr,3.5,2.8k,EdTech,5k-10k Employees,Mumbai +50 more
Ford Motor,4.5,2.8k,Automobile,5k-10k Employees,Dearborn +110 more
Tata Capital,4.2,2.9k,NBFC,5k-10k Employees,Mumbai +236 more
Automatic Data Processing (ADP),4.1,2.8k,Software Product,1k-5k Employees,New Jersey +27 more
Bharat Electronics,4.2,2.8k,Electronics Manufacturing,5k-10k Employees,Bangalore/Bengaluru +54 more
Cummins,4.4,2.8k,Industrial Machinery,1k-5k Employees,Columbus +85 more
ITC Infotech,3.7,2.9k,IT Services & Consulting,10k-50k Employees,Bangalore/Bengaluru +56 more
Access Healthcare,4.0,2.8k,IT Services & Consulting,5k-10k Employees,Dallas +31 more
R1 RCM,3.9,2.8k,Healthcare,5k-10k Employees,Murray +32 more
American Express,4.2,2.8k,Financial Services,10k-50k Employees,New York City +45 more
Alembic Pharmaceuticals,4.1,2.8k,Pharma,10k-50k Employees,Vadodara/Baroda +155 more
Pidilite Industries,4.4,2.8k,Chemicals,5k-10k Employees,Mumbai +242 more
Tata AIA Life Insurance,4.1,2.7k,Insurance,10k-50k Employees,Mumbai +333 more
UnitedHealth,4.1,2.7k,Healthcare,10k-50k Employees,Minnetonka +16 more
Hindalco Industries,4.3,2.7k,Metals & Mining,10k-50k Employees,Mumbai +89 more
Alkem Laboratories,4.0,2.7k,Pharma,10k-50k Employees,Mumbai +167 more
Aakash Educational Services,3.6,2.7k,EdTech,5k-10k Employees,New Delhi +212 more
Publicis Sapient,3.6,2.7k,IT Services & Consulting,10k-50k Employees,New York +28 more
Atos,3.8,2.7k,IT Services & Consulting,10k-50k Employees,Vilnius +41 more
Utkarsh Small Finance Bank,3.9,2.7k,Banking,10k-50k Employees,Varanasi +305 more
DCB Bank,3.9,2.7k,Banking,5k-10k Employees,Mumbai +305 more
Hindustan Coca Cola Beverages,4.3,2.7k,Beverage,5k-10k Employees,Bangalore +219 more
Indian Air Force,4.7,2.6k,Defence & Aerospace,1 Lakh+ Employees,Baddi +116 more
Vishal Mega Mart,3.9,2.6k,Retail,10k-50k Employees,Baddi +321 more
Barclays,4.0,2.7k,Banking,10k-50k Employees,Pune +31 more
Berger Paints,3.8,2.7k,Chemicals,1k-5k Employees,Kolkata +260 more
Marpu Foundation,4.9,2.7k,Non-Profit,51-200 Employees,Hyderabad / Secunderabad +58 more
Glenmark Pharmaceuticals,4.0,2.6k,Pharma,10k-50k Employees,Baddi +142 more
Ipca Laboratories,4.0,2.6k,Pharma,10k-50k Employees,Mumbai +131 more
Jindal Steel and Power,4.0,2.6k,Iron & Steel,5k-10k Employees,Baddi +123 more
Bank of America,4.4,2.6k,Banking,10k-50k Employees,Gurgaon / Gurugram +31 more
Maersk,4.3,2.6k,Logistics,10k-50k Employees,Pune +35 more
DTDC Express,3.8,2.6k,Logistics,1k-5k Employees,Baddi +231 more
24/7 Customer,3.6,2.6k,BPO,5k-10k Employees,Bangalore / Bengaluru +26 more
Aarti Industries,4.2,2.6k,Agro Chemicals,5k-10k Employees,Vapi +43 more
ABB Group,4.1,2.6k,Electrical Equipment,1k-5k Employees,Baddi +100 more
Honda Motorcycle & Scooter,4.2,2.6k,Automobile,10k-50k Employees,Gurgaon / Gurugram +222 more
Wipro Infotech,4.0,2.5k,IT Services & Consulting,1 Lakh+ Employees (Global),Bangalore / Bengaluru +119 more
Carelon Global Solutions,4.0,2.6k,IT Services & Consulting,10k-50k Employees,Hyderabad / Secunderabad +14 more
Johnson Controls,3.7,2.5k,Industrial Automation,5k-10k Employees,Baddi +48 more
HDFC Ergo General Insurance,4.1,2.5k,Insurance,10k-50k Employees,Mumbai +236 more
NatWest Group,4.1,2.6k,Banking,10k-50k Employees,Gurgaon / Gurugram +22 more
PolicyBazaar,3.5,2.6k,Internet,10k-50k Employees,Gurgaon +91 more
CMS IT Services,3.2,2.5k,IT Services & Consulting,5k-10k Employees,Bangalore +138 more
Cogent E Services,3.4,2.5k,BPO,10k-50k Employees,Noida +37 more
